$E$,$p_x$,$p_y$,$p_z$,charge,timestamp
540.546144686271,-70.54203448963403,531.5121258622645,67.9876898168377,1.0,1665351295.0
690.8511201158914,-94.1909883586535,574.1056099078278,372.56385566740477,1.0,1665351295.3643365
404.62788264934625,74.76798785662083,230.43792167755373,324.0839330514472,-1.0,1665351295.728673
582.1466880450544,111.00297389961031,459.64536453090983,339.4300444163942,-1.0,1665351296.0930092
742.2592907309592,-74.01782723449327,532.2512773992598,511.9495127791094,-1.0,1665351296.4573457
587.6105595543112,121.99889406970306,474.0460706295354,325.08386989544334,1.0,1665351296.8216822
1017.4252267389442,83.31356034705288,422.68017331006644,921.5330562479362,0.0,1665351297.1860187
705.4213944380781,-39.53892089101896,624.5698800807218,325.5230289268168,0.0,1665351297.550355
531.4886193198471,17.92870329948437,379.7140973266137,371.44806952782955,1.0,1665351297.9146914
551.5164806300972,175.45287820670978,521.7221778858512,29.35038394355454,0.0,1665351298.279028
425.11317368981236,-88.33928039580815,381.0566199745854,166.46319219971656,-1.0,1665351298.6433644
738.9018486302251,-16.374033829778114,312.28067517929094,669.4043044639551,1.0,1665351299.0077007
891.5699988704356,82.45103904457187,567.3729124603634,682.7764108788058,0.0,1665351299.3720372
579.769691623921,-130.2745349105008,564.3605941642919,18.092004700320757,0.0,1665351299.7363737
818.454352177773,-202.4978352272936,517.839119469494,600.5150370091136,0.0,1665351300.1007102
587.5853158078604,-154.1641244218627,529.5410514584672,202.6646513690153,-1.0,1665351300.4650464
838.3028283720652,186.29163675958534,654.0344408298431,490.10153880439236,1.0,1665351300.829383
477.89678115789656,78.0500246536327,460.35727966489003,100.16717103017372,1.0,1665351301.1937194
643.4377905894767,75.78214269662669,330.6173296356745,546.7716054730266,1.0,1665351301.5580559
992.8846227205629,-96.9854002068169,500.67258248069624,851.9022428270679,-1.0,1665351301.9223921
1689.5508931398876,-124.51148221089846,387.03987436899916,1639.9012186579612,0.0,1665351302.2867286
533.3544792367547,185.17075542385385,443.14353264295784,231.9468933492942,-1.0,1665351302.651065
887.8093315827163,87.58987216014748,523.2872867437292,711.8290518605606,-1.0,1665351303.0154016
933.473524768524,8.893595737926375,552.6223106308271,752.2632898072777,,1665351303.379738
302.9641595007088,-65.41279124860421,294.0580942320355,32.18751154812643,0.0,1665351303.7440743
547.3718870001057,-40.739486663418575,235.31662877335563,492.5250461927804,-1.0,1665351304.1084108
822.7742128313715,-105.54385587399332,412.3571155328237,704.1138182545363,1.0,1665351304.4727473
401.7178845744508,3.0485481237283807,282.1295246314412,285.37634182347017,-1.0,1665351304.8370838
1793.6771615513524,-48.95062464834541,435.6474991597955,1739.278759340569,1.0,1665351305.20142
454.8367982197893,-96.6107691833077,346.7439738043308,278.0468466338371,0.0,1665351305.5657566
1206.766305213066,185.67334117402208,562.5037683906182,1051.378897601252,0.0,1665351305.930093
441.35854672954173,183.2562109682152,314.4871228463012,249.61798307942786,1.0,1665351306.2944295
614.5135585059259,71.8865395290187,328.12427561388034,514.4970444764723,,1665351306.6587658
542.5483534289091,-144.9989615304301,519.1928611154051,60.71490698598692,-1.0,1665351307.0231023
2298.5274634745233,-10.18304308934529,668.8417897475898,2199.0393416824786,0.0,1665351307.3874388
494.5083182901804,151.80616813072265,425.10939483065533,201.92109003856714,-1.0,1665351307.7517753
669.6903402717451,55.02658886204995,468.1752144625274,475.6761029676172,1.0,1665351308.1161115
1822.09264291165,78.1777745042101,638.4197245463181,1704.7957796277342,-1.0,1665351308.480448
